Card Name,Post-Acquisition Winrate,Post-Acquisition Record,Total Post-Acquisition Matches,Pools Opened In
"Ezekiel Sims, Spider-Totem",41.25,33-47,80,8
Doom Reigns Supreme,41.25,125-178,303,21
Morgul-Knife Wound,41.24,73-104,177,15
Out Cold,41.22,61-87,148,12
Mouser Mark III,41.22,61-87,148,17
Rodeo Pyromancers,41.2,89-127,216,22
Sword of Fire and Ice,41.18,7-10,17,2
Outrageous Robbery,41.18,14-20,34,3
"Suki, Courageous Rescuer",41.18,14-20,34,3
Radioactive Spider,41.18,7-10,17,4
The Shire,41.18,7-10,17,2
Rictus Robber,41.18,21-30,51,5
Ghostly Prison,41.18,14-20,34,2
"Armaggon, Future Shark",41.18,14-20,34,4
Stern Scolding,41.11,37-53,90,7
Too Evil to Stay Dead,41.1,254-364,618,42
Firebending Lesson,41.05,39-56,95,8
"Fortune, Loyal Steed",41.03,16-23,39,3
Southern Air Temple,41.03,32-46,78,6
Mongoose Lizard,41.01,57-82,139,14
Thirst for Knowledge,40.98,243-350,593,44
Rush the Room,40.98,75-108,183,16
Purple Dragon Punks,40.96,68-98,166,17
Ent's Fury,40.96,68-98,166,14
Errand-Rider of Gondor,40.95,43-62,105,9
Loan Shark,40.94,61-88,149,14
Pirate Peddlers,40.93,79-114,193,16
"Azula, Cunning Usurper",40.91,9-13,22,3
Waterbending Lesson,40.83,69-100,169,17
Hog-Monkey,40.82,80-116,196,18
Foggy Swamp Spirit Keeper,40.79,31-45,76,7
"April O'Neil, Kunoichi Trainee",40.79,31-45,76,10
Novice Inspector,40.76,86-125,211,17
Essence Capture,40.74,22-32,54,4
Blooming Marsh,40.74,33-48,81,7
Wose Pathfinder,40.74,55-80,135,13
Detective's Satchel,40.74,11-16,27,3
Yuyan Archers,40.72,90-131,221,18
Enraged Huorn,40.71,57-83,140,12
Bender's Waterskin,40.7,70-102,172,19
"Jeong Jeong, the Deserter",40.62,13-19,32,4
"Vulture, Scheming Scavenger",40.59,41-60,101,9
Spinewoods Paladin,40.58,56-82,138,14
Treetop Freedom Fighters,40.52,47-69,116,12
"Living Brain, Mechanical Marvel",40.5,49-72,121,12
"Storm, Windrider",40.45,108-159,267,20
Punk Frogs,40.45,72-106,178,21
Insectoid Exterminator,40.45,36-53,89,9
Dunland Crebain,40.39,103-152,255,20
"Bumi, Unleashed",40.38,21-31,52,3
Avatar Enthusiasts,40.34,48-71,119,11
Elemental Teachings,40.32,25-37,62,4
Cruel Administrator,40.32,25-37,62,6
Construct a Cosmic Cube,40.31,156-231,387,28
Pumpkin Bombardment,40.31,79-117,196,23
Sam's Desperate Rescue,40.3,54-80,134,13
Uncle Iroh,40.28,29-43,72,6
South Pole Voyager,40.28,29-43,72,7
Slithering Cryptid,40.26,62-92,154,15
"Flash Thompson, Spider-Fan",40.26,31-46,77,9
Jennika's Technique,40.26,31-46,77,8
Cat-Owl,40.21,76-113,189,19
"Tigra, Feline Fury",40.19,256-381,637,46
Serpent's Pass,40.14,57-85,142,11
"SP//dr, Piloted by Peni",40.13,63-94,157,15
Haunt of the Dead Marshes,40.08,95-142,237,21
Call a Surprise Witness,40.0,20-30,50,5
The Spot's Portal,40.0,46-69,115,12
War Balloon,40.0,26-39,65,7
Lembas,40.0,54-81,135,15
Trusty Boomerang,40.0,10-15,25,4
Aftermath Analyst,40.0,14-21,35,2
"Vadmir, New Blood",40.0,12-18,30,2
Nazgûl,40.0,20-30,50,4
Cheering Crowd,40.0,14-21,35,4
"Boromir, Warden of the Tower",40.0,22-33,55,4
Weather Maker,40.0,6-9,15,2
Hustle // Bustle,40.0,18-27,45,4
The Clone Saga,40.0,8-12,20,2
Gran-Gran,40.0,14-21,35,5
Foggy Swamp Hunters,39.87,61-92,153,16
Moon Girl and Devil Dinosaur,39.87,183-276,459,31
Cowabunga!,39.86,57-86,143,17
Bot Bashing Time,39.86,55-83,138,17
Mutant Town Musicians,39.84,49-74,123,15
Nobody,39.78,72-109,181,21
Swarming of Moria,39.78,72-109,181,16
Romantic Rendezvous,39.75,97-147,244,21
Horses of the Bruinen,39.74,31-47,78,6
Destined Confrontation,39.73,29-44,73,5
Rowdy Snowballers,39.73,89-135,224,20
Topiary Panther,39.71,54-82,136,11
Master Pakku,39.71,27-41,68,6
Kraven's Cats,39.7,79-120,199,18
Rot Farm Mortipede,39.64,67-102,169,14
Baron Bertram Graywater,39.64,44-67,111,8
Galadhrim Bow,39.64,67-102,169,16
Absolving Lammasu,39.62,21-32,53,5
Guru Pathik,39.58,38-58,96,9
Sumala Sentry,39.58,19-29,48,5
Gwaihir the Windlord,39.58,19-29,48,6
Outlaw Stitcher,39.56,36-55,91,9
Platypus-Bear,39.55,70-107,177,16
Worlds Within Worlds,39.53,102-156,258,17
Spider-Man India,39.53,34-52,86,8
Drag the Canal,39.53,17-26,43,4
Cactusfolk Sureshot,39.53,34-52,86,8
Case of the Pilfered Proof,39.53,17-26,43,3
School Daze,39.52,49-75,124,11
Kyoshi Village,39.47,30-46,76,8
Walltop Sentries,39.47,45-69,114,14
Transdimensional Bovine,39.47,15-23,38,3
Wild Pack Squad,39.46,103-158,261,25
Rune-Brand Juggler,39.45,43-66,109,8
"Shredder, Unrelenting",39.44,28-43,71,7
Homicide Investigator,39.39,13-20,33,2
"Glorfindel, Dauntless Rescuer",39.39,13-20,33,4
Watery Grasp,39.36,74-114,188,17
Spider-Islanders,39.35,85-131,216,20
West Wind Avatar,39.34,24-37,61,6
"Abomination, Terrifying Titan",39.32,219-338,557,40
Sandman's Quicksand,39.29,22-34,56,4
Path to Exile,39.29,22-34,56,6
"Wonder Man, Hollywood Hero",39.27,291-450,741,51
Lash of the Balrog,39.26,53-82,135,14
Tale of Tinúviel,39.24,31-48,79,7
Savage Smash,39.22,20-31,51,3
"Leatherhead, Swamp Stalker",39.22,20-31,51,5
The Last Ronin's Technique,39.22,20-31,51,5
Sun-Blessed Peak,39.18,38-59,97,9
Second Breakfast,39.13,63-98,161,16
Wojek Investigator (MKM) 36†,39.13,9-14,23,2
Savage Mansion,39.1,61-95,156,17
Photon Blast Barrage,39.05,230-359,589,43
Scene of the Crime,39.02,16-25,41,5
The Astonishing Ant-Man,39.0,101-158,259,19
Bovine Intervention,38.97,53-83,136,10
Banish from Edoras,38.95,74-116,190,15
"Kraven, Proud Predator",38.89,14-22,36,8
Reckless Detective,38.89,21-33,54,4
Invasion Tactics,38.89,14-22,36,3
Web of Life and Destiny,38.89,14-22,36,3
Fight to the Death,38.89,7-11,18,1
Subway Train,38.81,78-123,201,19
"Iron Spider, Stark Upgrade",38.78,19-30,49,4
Return the Favor,38.78,19-30,49,4
Peter Parker's Camera,38.71,12-19,31,4
Highway Robbery,38.71,60-95,155,14
Curious Farm Animals,38.71,36-57,93,10
"Eddie Brock // Venom, Lethal Protector",38.71,12-19,31,3
Pick Your Poison,38.67,29-46,75,7
Reckless Lackey,38.66,46-73,119,9
The Chase Is On,38.64,68-108,176,15
Mordor Trebuchet,38.58,76-121,197,18
Barrow-Blade,38.57,27-43,70,5
Prison Break,38.54,37-59,96,12
Wolfbat,38.46,30-48,78,7
Tomb Trawler,38.46,35-56,91,8
Skateboard,38.46,30-48,78,10
Honest Work,38.46,20-32,52,5
Sun Warriors,38.46,10-16,26,3
Projektor Inspector,38.41,53-85,138,9
Pretending Poxbearers,38.41,53-85,138,14
Heroic Feast,38.41,116-186,302,19
"June, Bounty Hunter",38.36,28-45,73,6
No More Lies,38.33,23-37,60,6
"Leonardo, Big Brother",38.31,59-95,154,18
Dust Animus,38.24,26-42,68,7
Featherbrained Filcher,38.24,26-42,68,9
Biorganic Carapace,38.24,13-21,34,3
Bag End Porter,38.21,47-76,123,12
Stone of Erech,38.18,21-34,55,4
East-Mark Cavalier,38.16,58-94,152,14
Troll of Khazad-dûm,38.14,90-146,236,18
Evidence Examiner,38.1,16-26,42,5
Combustion Man,38.1,24-39,63,5
Cirith Ungol Patrol,38.04,62-101,163,14
Fire Lord Zuko,38.03,27-44,71,7
Earth Village Ruffians,38.0,57-93,150,13
Fancy Footwork,38.0,38-62,100,8
Unscrupulous Contractor,37.97,30-49,79,10
Cat-Gator,37.97,30-49,79,8
The Torment of Gollum,37.96,41-67,108,10
Earthbending Lesson,37.95,63-103,166,15
Metalhead,37.93,22-36,58,9
Mount Doom,37.93,11-18,29,2
Book of Mazarbul,37.89,36-59,95,8
Soured Springs,37.88,25-41,66,6
The Unagi of Kyoshi Island,37.84,14-23,37,4
Intrude on the Mind,37.84,14-23,37,3
Hithlain Knots,37.57,71-118,189,16
Unauthorized Exit,37.5,39-65,104,10
Light of Promise,37.5,15-25,40,3
"Appa, Steadfast Guardian",37.5,9-15,24,3
Heartless Act,37.5,21-35,56,6
Prince Imrahil the Fair,37.5,24-40,64,6
"Elrond, Lord of Rivendell",37.5,9-15,24,3
Council's Deliberation,37.5,33-55,88,9
Minas Tirith,37.5,12-20,32,2
"Killmonger, Scourge of Wakanda",37.48,223-372,595,49
Shire Terrace,37.41,55-92,147,14
Thwip!,37.38,80-134,214,20
Fire Nation Raider,37.37,71-119,190,17
White Lotus Hideout,37.36,34-57,91,9
Birthday Escape,37.33,28-47,75,8
Lost Days,37.32,53-89,142,18
Hobbit's Sting,37.32,53-89,142,14
Decisive Denial,37.31,25-42,67,4
Stalwarts of Osgiliath,37.29,66-111,177,18
"Hei Bai, Spirit of Balance",37.27,41-69,110,10
Heroic Intervention,37.27,41-69,110,8
Foray of Orcs,37.25,19-32,51,6
Avengers: Under Siege,37.24,73-123,196,16
"Starling, Aerial Ally",37.21,48-81,129,11
Oliphaunt,37.16,68-115,183,21
The Legend of Kuruk // Avatar Kuruk,37.14,13-22,35,3
Avengers Assemble!,37.12,49-83,132,10
Ozai's Cruelty,37.1,23-39,62,8
Flowering of the White Tree,37.04,10-17,27,2
Westfold Rider,37.01,57-97,154,15
"Azula, On the Hunt",36.99,27-46,73,7
Namor the Sub-Mariner,36.97,61-104,165,10
Tenderize,36.96,68-116,184,16
Long Goodbye,36.84,42-72,114,10
Jeong Jeong's Deserters,36.79,78-134,212,21
Waterbender Ascension,36.78,32-55,87,7
The Black Breath,36.73,72-124,196,17
Scroll of Isildur,36.73,18-31,49,6
Kyoshi Warriors,36.7,69-119,188,18
Foggy Swamp Visions,36.67,11-19,30,3
Masked Meower,36.63,37-64,101,12
Rockalanche,36.59,15-26,41,4
Geyser Leaper,36.55,53-92,145,14
"Flopsie, Bumi's Buddy",36.54,38-66,104,10
"Gimli, Counter of Kills",36.45,39-68,107,8
Insidious Roots,36.45,39-68,107,9
Foggy Swamp Vinebender,36.36,56-98,154,15
"Butterbur, Bree Innkeeper",36.36,12-21,33,4
Living Conundrum,36.36,8-14,22,2
Mob Lookout,36.33,101-177,278,27
Spider-Man No More,36.2,59-104,163,16
Lobelia Sackville-Baggins,36.11,13-23,36,5
Éomer of the Riddermark,36.11,13-23,36,4
"Lazav, Familiar Stranger",36.11,13-23,36,3
Merciless Enforcers,36.08,92-163,255,27
Sword of Wealth and Power,36.0,9-16,25,3
Extinction Event,36.0,9-16,25,3
"Judith, Carnage Connoisseur",36.0,9-16,25,2
Revive the Shire,35.92,74-132,206,19
Skulduggery,35.9,28-50,78,9
Omashu City,35.85,19-34,53,5
Deceive the Messenger,35.81,53-95,148,14
With Great Power . . .,35.8,29-52,81,6
Forensic Gadgeteer,35.71,10-18,28,2
"Aurelia, the Law Above",35.71,10-18,28,3
Sanctuary Wall,35.71,40-72,112,9
Iguana Parrot,35.62,57-103,160,18
Crustacean Commando,35.58,37-67,104,14
Galadriel of Lothlórien,35.56,16-29,45,5
Cactarantula,35.51,49-89,138,12
Hermitic Herbalist,35.48,22-40,62,7
Ambush Gigapede,35.38,46-84,130,11
Phoenix Fleet Airship,35.29,6-11,17,2
"Araña, Heart of the Spider",35.29,6-11,17,3
Beetle-Headed Merchants,35.25,86-158,244,26
Raucous Theater,35.19,19-35,54,6
Protector of Gondor,35.19,19-35,54,7
Samwise Gamgee,35.14,13-24,37,3
Saruman the White,35.14,13-24,37,4
"Sméagol, Helpful Guide",35.09,20-37,57,5
Gimli's Axe,35.08,67-124,191,16
Cunning Maneuver,35.06,88-163,251,21
Spider-Man Noir,35.05,34-63,97,10
Dúnedain Blade,35.0,56-104,160,14
Zuko's Exile,34.91,59-110,169,18
Spinneret and Spiderling,34.88,15-28,43,4
Bewitching Leechcraft,34.87,53-99,152,14
Lavaspur Boots,34.78,8-15,23,3
Crashing Wave,34.78,48-90,138,15
"Leonardo, Sewer Samurai",34.78,8-15,23,2
Fanatical Strength (MKM) 310†,34.78,8-15,23,2
Contagion Engine,34.69,17-32,49,4
The Neutrinos,34.69,17-32,49,5
City Pigeon,34.69,51-96,147,16
"Iroh, Grand Lotus",34.69,17-32,49,4
Venomized Cat,34.67,69-130,199,21
Gathering Place,34.6,118-223,341,24
"Thanos, the Mad Titan",34.55,38-72,110,9
Benthic Criminologists,34.53,48-91,139,16
"Fear, Fire, Foes!",34.52,29-55,84,7
Airbender Ascension,34.48,10-19,29,4
Tiger-Seal,34.48,10-19,29,3
New Generation's Technique,34.38,11-21,32,3
Magnifying Glass,34.34,34-65,99,11
Cunning Coyote,34.33,23-44,67,5
Torch the Witness,34.31,35-67,102,9
"Jackal, Genius Geneticist",34.29,12-23,35,3
Servant of the Stinger,34.25,25-48,73,10
Fatal Fissure,34.21,26-50,76,5
Agent Venom,34.21,13-25,38,3
"Shadowfax, Lord of Horses",34.18,27-52,79,7
Cryptic Coat,34.09,15-29,44,5
Vraska Joins Up,34.09,15-29,44,5
Ithilien Kingfisher,34.04,48-93,141,15
"Doc Aurlock, Grizzled Genius",34.04,16-31,47,5
Bumi Bash,34.02,66-128,194,20
Marketwatch Phantom,33.86,43-84,127,13
Merchant of Many Hats,33.64,36-71,107,11
"Quickbeam, Upstart Ent",33.33,17-34,51,6
Brimstone Roundup,33.33,20-40,60,7
Combustion Technique,33.33,34-68,102,11
Resilient Roadrunner,33.33,8-16,24,2
Bandit's Haul,33.33,17-34,51,5
Lost in the Maze,33.33,14-28,42,5
Bebop & Rocksteady,33.33,13-26,39,4
The Rise of Sozin // Fire Lord Sozin,33.33,10-20,30,2
Perimeter Enforcer,33.33,8-16,24,2
Ephemerate,33.33,7-14,21,2
Party Dude,33.33,10-20,30,3
"Malcolm, the Eyes",33.33,6-12,18,2
Unstable Experiment,33.1,47-95,142,17
Messenger Hawk,32.77,39-80,119,14
"Wingnut, Bat on the Belfry",32.76,19-39,58,7
Haradrim Spearmaster,32.74,55-113,168,16
Generous Ent,32.7,69-142,211,17
Rally at the Hornburg,32.56,56-116,172,16
Air Nomad Legacy,32.53,27-56,83,11
Stew the Coneys,32.5,13-27,40,5
Pelargir Survivor,32.35,33-69,102,12
Rattleback Apothecary,32.26,10-21,31,3
Brandywine Farmer,32.23,39-82,121,12
"Grond, the Gatebreaker",32.18,28-59,87,8
The Ten Rings,32.17,37-78,115,9
Bitter Work,32.14,27-57,84,8
Aloe Alchemist,32.14,9-19,28,4
"Renet, Temporal Apprentice",32.0,8-17,25,3
Misty Palms Oasis,31.94,23-49,72,8
"Strider, Ranger of the North",31.88,22-47,69,7
The Coming of Galactus,31.78,34-73,107,8
"Venus, Torn Between Worlds",31.71,13-28,41,4
"Kraum, Violent Cacophony",31.71,13-28,41,4
Seismic Sense,31.67,19-41,60,6
Alley Assailant,31.58,42-91,133,13
Villainous Wealth,31.58,6-13,19,3
Metamorphic Blast,31.48,17-37,54,7
The Earth King,31.43,11-24,35,4
Outcaster Greenblade,31.43,11-24,35,5
Zuko's Conviction,31.08,23-51,74,8
"Marchesa, Dealer of Death",31.03,9-20,29,3
Turtle Power!,31.03,9-20,29,4
Jace Reawakened,31.03,9-20,29,3
Serpent of the Pass,30.88,21-47,68,11
Tolls of War,30.77,12-27,39,4
"Silk, Web Weaver",30.77,8-18,26,2
"Iroh, Tea Master",30.77,12-27,39,5
Undercity Eliminator,30.77,8-18,26,2
Mirror of Galadriel,30.77,12-27,39,4
"Aang, Swift Savior // Aang and La, Ocean's Fury",30.77,8-18,26,3
The Grey Havens,30.68,27-61,88,8
"Silver Sable, Mercenary Leader",30.61,15-34,49,9
Boar-q-pine,30.51,54-123,177,20
Furtive Courier,30.43,14-32,46,5
"Tokka & Rahzar, Terrible Twos",30.43,7-16,23,2
Goblin Fireleaper,30.0,21-49,70,6
North Pole Patrol,30.0,9-21,30,4
Hollow Marauder,30.0,6-14,20,3
Shortcut to Mushrooms,30.0,6-14,20,3
Kyoshi Island Plaza,29.82,17-40,57,6
Groundchuck & Dirtbag,29.79,14-33,47,5
Leyline of the Guildpact,29.73,11-26,37,3
"Toph, Hardheaded Teacher",29.63,8-19,27,2
"Old Hob, Alleycat Blues",29.55,13-31,44,6
Visage Bandit,29.27,12-29,41,5
"Lo and Li, Twin Tutors",29.21,26-63,89,11
Alien Symbiosis,29.21,26-63,89,8
"Michelangelo, Weirdness to 11",29.17,7-17,24,3
Price of Freedom,29.17,7-17,24,3
Ranger's Firebrand,29.07,25-61,86,8
Magnetic Snuffler,29.03,9-22,31,6
Broadcast Takeover,29.03,9-22,31,3
Captain of Umbar,29.0,29-71,100,10
Agna Qel'a,28.57,6-15,21,3
Sparring Dummy,28.26,13-33,46,5
"Hama, the Bloodbender",28.21,11-28,39,5
Hypothesizzle,28.12,9-23,32,3
"King T'Challa // Black Panther, Hope Enduring",28.09,25-64,89,7
Oath of the Grey Host,28.07,16-41,57,7
"Appa, Loyal Sky Bison",28.0,7-18,25,4
Invasion Submersible,28.0,14-36,50,5
Leader's Talent,28.0,7-18,25,4
Rocky Rebuke,27.98,54-139,193,19
Freestrider Lookout,27.78,5-13,18,2
Gimli's Fury,27.73,33-86,119,11
White Lotus Reinforcements,27.71,23-60,83,10
Elven Farsight,27.67,44-115,159,15
Primordial Pachyderm,27.42,34-90,124,14
Leaves from the Vine,27.27,15-40,55,6
Wrench,27.27,12-32,44,5
The Pride of Hull Clade,27.27,6-16,22,2
Reprieve,27.12,16-43,59,7
Undercover Crocodelf,26.77,34-93,127,16
Fire Navy Trebuchet,26.67,16-44,60,8
Culvert Ambusher,26.67,8-22,30,3
Spider-Verse,26.67,4-11,15,1
Worldsoul's Rage,26.67,4-11,15,1
Lead Pipe,26.67,4-11,15,1
Treacherous Terrain,26.67,4-11,15,1
"Kaya, Spirits' Justice",26.67,4-11,15,1
"Sun-Spider, Nimble Webber",26.47,9-25,34,4
Case of the Shattered Pact,26.32,5-14,19,3
Reanimate,26.32,5-14,19,2
Audience with Trostani,26.09,6-17,23,3
"Delney, Streetwise Lookout",25.93,7-20,27,2
Gollum's Bite,25.58,11-32,43,5
Secret Tunnel,25.58,11-32,43,4
Lively Dirge,25.53,12-35,47,5
"Meneldor, Swift Savior",25.49,13-38,51,5
"Calamity, Galloping Inferno",25.0,6-18,24,3
Surgical Extraction,25.0,5-15,20,3
Elegant Parlor,25.0,7-21,28,3
Earthen Ally,24.53,13-40,53,5
Expose the Culprit,24.53,13-40,53,7
The Mouth of Sauron,24.49,12-37,49,5
Great Divide Guide,24.0,6-19,25,3
"Aragorn, Company Leader",23.68,9-29,38,4
Rise of the Witch-king,23.53,20-65,85,9
Oscorp Industries,23.33,7-23,30,3
Northern Air Temple,23.33,7-23,30,3
"Donatello, Way with Machines",23.29,17-56,73,8
"Joo Dee, One of Many",22.97,17-57,74,8
Tiger-Dillo,22.64,12-41,53,5
Shadowy Backstreet,22.22,4-14,18,2
"Casey Jones, Vigilante",22.22,6-21,27,4
"Gimli, Mournful Avenger",22.22,6-21,27,2
Fiery Inscription,22.22,4-14,18,2
"The Boulder, Ready to Rumble",21.74,5-18,23,4
Forensic Researcher,21.43,6-22,28,2
Cease // Desist,21.05,8-30,38,5
Sokka's Haiku,21.05,4-15,19,2
"Tinybones, the Pickpocket",21.05,4-15,19,3
"Koh, the Face Stealer",20.83,5-19,24,3
Gold Rush,20.69,6-23,29,4
"Morlun, Devourer of Spiders",20.69,6-23,29,6
Novel Nunchaku,20.51,8-31,39,7
Push // Pull,20.0,4-16,20,4
"Ray Fillet, Man Ray",20.0,9-36,45,5
Wojek Investigator,20.0,4-16,20,2
"Hobgoblin, Mantled Marauder",20.0,3-12,15,3
Solstice Revelations,19.75,16-65,81,8
Call of the Ring,19.3,11-46,57,6
Hedge Maze,18.75,3-13,16,2
Beast Within,18.75,6-26,32,3
"Spider-Woman, Stunning Savior",18.75,3-13,16,2
"Shriek, Treblemaker",18.42,7-31,38,6
Treacherous Greed,18.18,4-18,22,3
Friendly Neighborhood,17.86,5-23,28,5
"Shelob, Child of Ungoliant",17.86,5-23,28,3
"Éowyn, Lady of Rohan",17.72,14-65,79,7
"Bristly Bill, Spine Sower",17.65,3-14,17,2
"Anzrag, the Quake-Mole",17.65,3-14,17,2
Meteor Sword,17.39,4-19,23,5
"Landroval, Horizon Witness",16.67,5-25,30,6
Spirit Water Revival,16.67,4-20,24,3
Transmutation Font,13.64,3-19,22,2
"Sokka, Bold Boomeranger",13.51,5-32,37,5
Simulacrum Synthesizer,13.33,2-13,15,2
Gandalf the White,12.12,4-29,33,4
"Katara, Water Tribe's Hope",11.63,5-38,43,5
Hard-Hitting Question,11.54,3-23,26,3
Raven Eagle,11.11,3-24,27,4
Commercial District,10.53,2-17,19,3
Abandoned Air Temple,8.7,2-21,23,3
"Lilah, Undefeated Slickshot",7.41,2-25,27,3
Mithril Coat,7.14,2-26,28,3
"Merry, Esquire of Rohan",6.67,1-14,15,2
Interdimensional Web Watch,6.67,2-28,30,5
Superior Spider-Man,6.25,1-15,16,3
Spider-Suit,5.0,2-38,40,5
