Card Name,Post-Acquisition Winrate,Post-Acquisition Record,Total Post-Acquisition Matches,Pools Opened In
"Wolverine, Best There Is",51.43,18-17,35,2
Wanted Griffin,51.43,108-102,210,17
"Slash, Reptile Rampager",51.43,18-17,35,3
Festering Gulch,51.43,72-68,140,12
Tundra Tank,51.43,18-17,35,4
Endless Detour,51.43,18-17,35,3
Bubble Smuggler,51.41,73-69,142,12
M.O.D.O.K.,51.41,73-69,142,8
"Ty Lee, Chi Blocker",51.39,37-35,72,5
Hedge Whisperer,51.39,37-35,72,5
Mushroom Watchdogs,51.37,75-71,146,13
Case of the Trampled Garden,51.35,38-36,74,9
Longhorn Sharpshooter,51.35,76-72,148,13
Does Machines,51.35,19-18,37,3
Lost Isle Calling,51.35,19-18,37,2
Crimestopper Sprite,51.32,97-92,189,15
Barbed Servitor,51.32,39-37,76,4
Ruthless Lawbringer,51.3,59-56,115,7
Uneasy Alliance,51.27,81-77,158,13
Accumulate Wisdom,51.22,42-40,82,5
Suspicious Detonation,51.21,127-121,248,18
Rustler Rampage,51.19,43-41,84,8
"Koya, Death from Above",51.19,43-41,84,7
"Hulk, Gamma Goliath",51.17,372-355,727,46
The One Ring,51.16,22-21,43,3
Energybending,51.16,44-42,86,7
Mondo Gecko,51.16,22-21,43,3
Form a Posse,51.14,45-43,88,7
"Lizard, Connors's Curse",51.11,23-22,45,3
Barad-dûr,51.11,23-22,45,3
J. Jonah Jameson,51.11,23-22,45,4
Unscrupulous Agent,51.11,69-66,135,11
Benevolent River Spirit,51.09,47-45,92,8
Shire Scarecrow,51.08,95-91,186,13
You Cannot Pass!,51.04,49-47,96,8
Frodo Baggins,51.02,50-48,98,7
"Splinter, Hamato Yoshi",51.0,51-49,100,11
Inside Source,50.99,103-99,202,18
"Captain America, First Avenger",50.91,28-27,55,3
Exit Specialist,50.91,28-27,55,3
Spider-Man 2099,50.88,29-28,57,4
Hamato Guardian Stance,50.87,88-85,173,15
Glider Kids,50.85,120-116,236,15
"Ty Lee, Artful Acrobat",50.82,62-60,122,10
"Prowler, Clawed Thief",50.82,31-30,61,6
Quilled Charger,50.77,66-64,130,13
"Jennika, Bad Apple Big Sister",50.77,99-96,195,21
Sterling Supplier,50.75,135-131,266,17
Quick Draw,50.74,103-100,203,19
Silver Deputy,50.72,141-137,278,22
Slickshot Show-Off,50.67,38-37,75,5
Red Herring,50.66,115-112,227,17
"Leader, Super-Genius",50.66,154-150,304,21
"Attuma, Atlantean Warlord",50.65,427-416,843,49
"Jolene, Plundering Pugilist",50.65,39-38,77,7
Badlands Revival,50.65,39-38,77,6
"Bonny Pall, Clearcutter",50.63,40-39,79,5
Krovod Haunch,50.63,40-39,79,6
Buzzard-Wasp Colony,50.63,40-39,79,5
Granite Witness,50.62,81-79,160,13
Null Group Biological Assets,50.58,87-85,172,15
Grey Havens Navigator,50.56,91-89,180,15
Repulsive Mutation,50.55,46-45,91,7
Yip Yip!,50.5,102-100,202,20
"Spider-Woman, Secret Agent",50.47,323-317,640,43
Rhino's Rampage,50.36,69-68,137,10
Felonious Rage,50.27,94-93,187,13
Mirage Mesa,50.27,92-91,183,13
Mutant Chain Reaction,50.27,92-91,183,16
Snarling Warg,50.25,102-101,203,16
Asgardian Citadel,50.12,414-412,826,48
"Yellowjacket, Heartless Marauder",50.06,423-422,845,51
Rakish Crew,50.0,54-54,108,7
Terminal Agony,50.0,21-21,42,3
Expedited Inheritance,50.0,15-15,30,2
Krenko's Buzzcrusher,50.0,20-20,40,3
Scorpion's Sting,50.0,108-108,216,18
Voracious Varmint,50.0,109-109,218,17
Creosote Heath,50.0,47-47,94,8
Frog Butler,50.0,65-65,130,12
Jaded Analyst,50.0,45-45,90,9
Faerie Snoop,50.0,30-30,60,6
Press the Enemy,50.0,20-20,40,4
Notion Thief,50.0,11-11,22,2
