Card Name,Weighted Winrate %,Weighted Record,Total Weighted Matches,Pools Opened In
Witherbloom Charm,48.38,671-716,1387,76
Goblin Glasswright // Craft With Pride,48.38,2225-2374,4599,169
Artistic Process,48.38,717-765,1482,77
Hydro-Channeler,48.34,2318-2477,4795,179
Ajani'S Response,48.3,2159-2311,4470,173
Efflorescence,48.29,2182-2337,4519,168
Spiritcall Enthusiast // Scrollboost,48.29,793-849,1642,86
Growth Curve,48.26,555-595,1150,73
Aberrant Manawurm,48.22,828-889,1717,96
Abstract Paintmage,48.18,688-740,1428,82
Wildgrowth Archaic,48.17,407-438,845,50
Archaic'S Agony,48.12,704-759,1463,86
Grave Researcher // Reanimate,48.08,263-284,547,37
Proctor'S Gaze,48.07,709-766,1475,85
Burrog Barrage,48.04,1983-2145,4128,168
Pox Plague,48.02,328-355,683,50
Suspend Aggression,47.92,323-351,674,45
"Ral Zarek, Guest Lecturer",47.92,184-200,384,24
Transcendent Archaic,47.89,636-692,1328,75
Divergent Equation,47.87,572-623,1195,80
Sundown Pass,47.84,366-399,765,45
Thornfist Striker,47.81,795-868,1663,90
Emeritus Of Abundance // Regrowth,47.76,160-175,335,23
Conciliator'S Duelist,47.76,299-327,626,40
"Aziza, Mage Tower Captain",47.72,230-252,482,32
Wander Off,47.71,2178-2387,4565,171
Zimone'S Experiment,47.67,625-686,1311,84
Flow State,47.55,630-695,1325,76
Rabid Attack,47.52,662-731,1393,85
Exhibition Tidecaller,47.51,277-306,583,33
Postmortem Professor,47.3,219-244,463,34
Molten-Core Maestro,47.28,217-242,459,33
Rancorous Archaic,47.26,1390-1551,2941,139
Group Project,47.25,652-728,1380,80
Lorehold Charm,47.2,743-831,1574,83
Spectacular Skywhale,47.02,774-872,1646,94
Hardened Academic,46.83,318-361,679,44
Homesickness,46.81,558-634,1192,75
Deathcap Glade,46.54,377-433,810,50
"Moseo, Vein'S New Dean",46.52,401-461,862,51
Splatter Technique,46.47,270-311,581,43
Duel Tactics,45.91,584-688,1272,84
Scheming Silvertongue // Sign In Blood,45.76,324-384,708,48
Traumatic Critique,45.75,328-389,717,51
Stirring Hopesinger,43.63,243-314,557,40
Professor Dellian Fel,42.65,148-199,347,21
Vicious Rivalry,42.61,242-326,568,41
