Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Nervous Gardener (Copy 1),49.61,49.35,76-78,154,13
Dragonfly Swarm (Copy 1),49.61,49.37,78-80,158,13
"Krang, Master Mind (Copy 1)",49.61,48.28,14-15,29,3
"She-Hulk, Jade Defender (Copy 3)",49.6,48.0,12-13,25,2
"Michelangelo, Game Master (Copy 2)",49.6,48.0,12-13,25,3
Sample Collector (Copy 1),49.6,48.0,12-13,25,4
The Battle of Bywater (Copy 1),49.6,48.0,12-13,25,2
Hot Dog Cart (Copy 2),49.59,47.62,10-11,21,2
Saved by the Shell (Copy 1),49.59,47.62,10-11,21,4
Getaway Glamer (Copy 1),49.59,49.3,70-72,142,9
"Éowyn, Fearless Knight (Copy 1)",49.59,47.83,11-12,23,2
Kree Sentinel (Copy 4),49.59,47.83,11-12,23,2
Atlantis Attacks (Copy 4),49.59,47.62,10-11,21,1
"Iron Man, Titan of Innovation (Copy 1)",49.59,47.62,10-11,21,1
Path to Redemption (Copy 2),49.58,47.37,9-10,19,2
Repulse (Copy 1),49.58,47.37,9-10,19,3
Aurelia's Vindicator (Copy 1),49.58,47.37,9-10,19,3
"Human Torch, Johnny Storm (Copy 3)",49.58,47.37,9-10,19,1
Silver Deputy (Copy 2),49.58,47.37,9-10,19,1
"Mai, Jaded Edge (Copy 1)",49.58,47.37,9-10,19,3
Grow Extra Arms (Copy 2),49.58,47.37,9-10,19,2
Concerted Effort (Copy 1),49.58,47.37,9-10,19,1
Buried in the Garden (Copy 2),49.58,47.37,9-10,19,1
"Kitsune, Dragon's Daughter (Copy 1)",49.57,46.67,7-8,15,3
Rush the Room (Copy 2),49.57,46.67,7-8,15,3
Fomori Vault (Copy 1),49.57,47.06,8-9,17,1
Null Group Biological Assets (Copy 2),49.57,47.06,8-9,17,3
Water Tribe Captain (Copy 2),49.57,46.67,7-8,15,3
Treacherous Terrain (PLST) C16-47 (Copy 1),49.57,47.06,8-9,17,1
Gearbane Orangutan (Copy 2),49.57,47.06,8-9,17,1
Detective's Satchel (Copy 2),49.57,47.06,8-9,17,1
"Fangorn, Tree Shepherd (Copy 1)",49.57,47.06,8-9,17,1
Kingpin's Enforcers (Copy 4),49.57,46.67,7-8,15,1
The Legend of Kyoshi // Avatar Kyoshi (Copy 1),49.56,46.15,6-7,13,1
"Sméagol, Helpful Guide (Copy 2)",49.56,46.15,6-7,13,1
Wizard's Rockets (Copy 2),49.56,46.15,6-7,13,1
Crowd of True Believers (Copy 3),49.56,49.21,62-64,126,11
Madame Masque (Copy 3),49.56,46.15,6-7,13,1
Crimson Operative (Copy 4),49.56,46.15,6-7,13,2
Call Damage Control (Copy 4),49.56,46.15,6-7,13,1
Intrepid Stablemaster (Copy 2),49.56,46.15,6-7,13,2
Thunder Salvo (Copy 2),49.56,46.15,6-7,13,1
Skateboard (Copy 2),49.56,46.15,6-7,13,1
Gimli's Fury (Copy 2),49.55,45.45,5-6,11,1
Galadhrim Bow (Copy 2),49.55,45.45,5-6,11,1
Flying Octobot (Copy 1),49.54,49.14,57-59,116,11
Fancy Footwork (Copy 2),49.54,44.44,4-5,9,1
Benevolent River Spirit (Copy 2),49.54,44.44,4-5,9,1
Mongoose Lizard (Copy 2),49.54,44.44,4-5,9,1
Rocky Rebuke (Copy 2),49.54,44.44,4-5,9,1
Morbid Opportunist (Copy 1),49.54,44.44,4-5,9,2
"Abomination, Terrifying Titan (Copy 3)",49.54,44.44,4-5,9,1
Armored Armadillo (Copy 2),49.54,44.44,4-5,9,1
Take the Fall (Copy 2),49.54,44.44,4-5,9,1
Back for More (Copy 2),49.54,44.44,4-5,9,1
Aang's Journey (Copy 2),49.54,44.44,4-5,9,1
Mine Raider (Copy 2),49.54,44.44,4-5,9,1
Smuggler's Surprise (Copy 1),49.54,44.44,4-5,9,1
Not on My Watch (Copy 1),49.53,49.12,56-58,114,9
Discerning Peddler (Copy 2),49.53,42.86,3-4,7,1
Rhino's Rampage (Copy 2),49.53,42.86,3-4,7,1
"Night Nurse, Healer of Heroes (Copy 3)",49.53,42.86,3-4,7,1
"Patriot, Shield Wielder (Copy 1)",49.52,49.46,412-421,833,51
Savage Land Dinosaur (Copy 2),49.52,49.41,208-213,421,27
Kree Commandos (Copy 5),49.52,40.0,2-3,5,1
Gandalf's Sanction (Copy 2),49.52,40.0,2-3,5,1
Earth Kingdom General (Copy 1),49.52,49.09,54-56,110,8
Mouser Attack! (Copy 3),49.52,40.0,2-3,5,1
Guy in the Chair (Copy 2),49.52,40.0,2-3,5,1
"Doctor Octopus, Master Planner (Copy 1)",49.52,40.0,2-3,5,1
Rent Is Due (Copy 1),49.52,40.0,2-3,5,2
Frozen in Ice (Copy 4),49.52,40.0,2-3,5,1
How to Start a Riot (Copy 2),49.52,40.0,2-3,5,1
Sun Warriors (Copy 2),49.52,40.0,2-3,5,1
Canyon Crawler (Copy 3),49.52,40.0,2-3,5,1
Wandering Musicians (Copy 3),49.52,40.0,2-3,5,1
Consign // Oblivion (PLST) HOU-149 (Copy 1),49.52,40.0,2-3,5,1
Steamcore Scholar (Copy 1),49.52,40.0,2-3,5,1
Mountain (Copy 7),49.52,40.0,2-3,5,1
Dragonfly Swarm (Copy 2),49.52,40.0,2-3,5,1
Scroll of Isildur (Copy 2),49.51,33.33,1-2,3,1
Bag End Porter (Copy 3),49.51,33.33,1-2,3,1
Price of Freedom (Copy 2),49.51,33.33,1-2,3,1
Rot Farm Mortipede (Copy 2),49.51,33.33,1-2,3,1
Gadget Technician (Copy 2),49.51,33.33,1-2,3,1
Worlds Within Worlds (Copy 2),49.51,33.33,1-2,3,1
Rising of the Day (Copy 1),49.5,49.02,50-52,102,10
Topiary Panther (Copy 3),49.5,0.0,0-1,1,1
Meddling Youths (Copy 2),49.5,0.0,0-1,1,1
Trickster's Stratagem (Copy 4),49.5,0.0,0-1,1,1
Forest (Copy 7),49.5,0.0,0-1,1,1
Doppelgang (Copy 1),49.5,0.0,0-1,1,1
Galadhrim Guide (Copy 2),49.5,0.0,0-1,1,1
Swamp (Copy 8),49.5,0.0,0-1,1,1
Mysterio's Phantasm (Copy 2),49.5,0.0,0-1,1,1
Abandon Attachments (Copy 2),49.5,0.0,0-1,1,1
Esoteric Duplicator (Copy 1),49.5,0.0,0-1,1,1
Foggy Swamp Visions (Copy 2),49.5,0.0,0-1,1,1
Laughing Jasper Flint (Copy 1),49.5,0.0,0-1,1,1
Neighborhood Guardian (Copy 3),49.5,0.0,0-1,1,1
"Flash Thompson, Spider-Fan (Copy 2)",49.5,0.0,0-1,1,1
Saruman's Trickery (Copy 2),49.5,0.0,0-1,1,1
Failed Fording (Copy 2),49.5,0.0,0-1,1,1
Loki Laufeyson (Copy 3),49.5,0.0,0-1,1,1
Defenestrated Phantom (Copy 3),49.5,0.0,0-1,1,1
Hedge Whisperer (Copy 2),49.5,0.0,0-1,1,1
Case of the Trampled Garden (Copy 2),49.5,0.0,0-1,1,1
Rakish Scoundrel (Copy 2),49.5,0.0,0-1,1,1
Plains (Copy 6),49.5,0.0,0-1,1,1
Ithilien Kingfisher (Copy 3),49.5,0.0,0-1,1,1
Secret of Bloodbending (Copy 1),49.5,0.0,0-1,1,1
Lassoed by the Law (Copy 2),49.5,0.0,0-1,1,1
Insatiable Avarice (Copy 1),49.5,0.0,0-1,1,1
Doc Ock's Henchmen (Copy 4),49.5,0.0,0-1,1,1
"Scorpion, Seething Striker (Copy 2)",49.5,0.0,0-1,1,1
Taxi Driver (Copy 3),49.5,0.0,0-1,1,1
"Suki, Kyoshi Warrior (Copy 2)",49.5,0.0,0-1,1,1
Dark Deed (Copy 3),49.5,0.0,0-1,1,1
The Mind Stone (Copy 2),49.5,0.0,0-1,1,1
Pym Technologies (Copy 3),49.5,0.0,0-1,1,1
"Spider-Slayer, Hatred Honed (Copy 2)",49.5,0.0,0-1,1,1
Outlaw Medic (Copy 2),49.5,0.0,0-1,1,1
Molten Duplication (Copy 1),49.5,0.0,0-1,1,1
"Monica Rambeau // Photon, Living Light (Copy 2)",49.5,0.0,0-1,1,1
Vengeful Townsfolk (Copy 1),49.49,49.22,95-98,193,17
Earth Rumble (Copy 1),49.49,48.96,47-49,96,7
Nasty End (Copy 1),49.49,49.23,96-99,195,14
Wrangler of the Damned (Copy 1),49.48,48.91,45-47,92,8
Lush Oasis (Copy 1),49.48,48.94,46-48,94,11
Wakandan Royal Guard (Copy 3),49.47,48.89,44-46,90,6
North Pole Gates (Copy 1),49.46,48.84,42-44,86,8
"Michelangelo, Mutant BFF (Copy 1)",49.46,48.84,42-44,86,8
Negate (Copy 1),49.45,48.78,40-42,82,13
Loxodon Eavesdropper (Copy 1),49.42,48.61,35-37,72,6
Tenth District Hero (Copy 1),49.42,48.61,35-37,72,4
Vibrant Cityscape (Copy 1),49.4,48.99,73-76,149,12
Dimensional Exile (Copy 1),49.4,48.48,32-34,66,7
Long List of the Ents (Copy 1),49.4,48.48,32-34,66,4
Unfortunate Accident (Copy 1),49.4,48.53,33-35,68,4
Glorious Gale (Copy 1),49.39,48.44,31-33,64,7
"Faramir, Field Commander (Copy 1)",49.39,48.97,71-74,145,10
Rabaroo Troop (Copy 1),49.38,49.09,108-112,220,19
Robotics Mastery (Copy 1),49.37,48.92,68-71,139,10
Maximum Carnage (Copy 1),49.37,48.28,28-30,58,5
"Bumi, King of Three Trials (Copy 1)",49.35,48.15,26-28,54,4
Massacre Girl (Copy 1),49.35,48.15,26-28,54,3
The Ruinous Wrecking Crew (Copy 2),49.35,48.15,26-28,54,6
Fire Nation Engineer (Copy 1),49.34,48.08,25-27,52,4
Fated Firepower (Copy 1),49.34,48.08,25-27,52,4
True Ancestry (Copy 1),49.32,48.76,59-62,121,10
Burden of Proof (Copy 1),49.32,47.83,22-24,46,3
"Spider-Man, To the Rescue (Copy 1)",49.32,49.24,454-468,922,59
Slime Against Humanity (Copy 1),49.32,48.97,95-99,194,16
"Lord Dregg, Insect Invader (Copy 1)",49.32,47.92,23-25,48,7
The Key to the Vault (Copy 1),49.32,47.92,23-25,48,3
"Shang-Chi, Master of Kung Fu (Copy 1)",49.31,48.95,93-97,190,11
Commandeer (Copy 1),49.3,47.62,20-22,42,4
"The Gitrog, Ravenous Ride (Copy 1)",49.28,47.37,18-20,38,4
"Grishnákh, Brash Instigator (Copy 1)",49.28,47.37,18-20,38,3
Master Piandao (Copy 1),49.28,47.37,18-20,38,5
Blood Hustler (Copy 1),49.26,47.22,17-19,36,4
Take the Fall (Copy 1),49.26,48.54,50-53,103,10
"Pippin, Guard of the Citadel (Copy 1)",49.26,47.22,17-19,36,4
Pitiless Carnage (Copy 1),49.26,47.22,17-19,36,2
Buzz Bots (Copy 2),49.24,46.88,15-17,32,2
Galadhrim Guide (Copy 1),49.23,48.88,109-114,223,19
Waterbending Scroll (Copy 1),49.23,46.67,14-16,30,4
Decimate (Copy 1),49.23,46.67,14-16,30,3
"Iron Lad, Diverging Destiny (Copy 2)",49.21,46.15,12-14,26,3
"Ezrim, Agency Chief (Copy 1)",49.19,45.83,11-13,24,3
Earth Kingdom Soldier (Copy 2),49.19,45.83,11-13,24,3
"Faramir, Prince of Ithilien (Copy 1)",49.19,45.83,11-13,24,2
Analyze the Pollen (Copy 1),49.19,45.83,11-13,24,2
Shelob's Ambush (Copy 2),49.18,45.45,10-12,22,2
Took Reaper (Copy 2),49.18,45.45,10-12,22,3
Branch of Vitu-Ghazi (Copy 1),49.18,48.19,40-43,83,6
On the Job (Copy 2),49.17,45.0,9-11,20,2
Frozen in Ice (Copy 3),49.17,48.15,39-42,81,8
"SP//dr, Piloted by Peni (Copy 2)",49.17,45.0,9-11,20,3
Grindstone (Copy 1),49.17,45.0,9-11,20,1
Combine Chrysalis (PLST) MH2-191 (Copy 1),49.17,45.0,9-11,20,1
"Etrata, Deadly Fugitive (Copy 1)",49.17,45.0,9-11,20,1
Razzle-Dazzler (Copy 1),49.16,48.83,125-131,256,19
"Spiders-Man, Heroic Horde (Copy 1)",49.15,48.51,65-69,134,10
Honest Rutstein (Copy 1),49.15,48.05,37-40,77,8
The Unbeatable Squirrel Girl (Copy 2),49.14,43.75,7-9,16,2
Obsessive Pursuit (Copy 1),49.14,43.75,7-9,16,2
Collector's Cage (Copy 1),49.14,43.75,7-9,16,1
Dai Li Agents (Copy 1),49.13,47.95,35-38,73,6
Call Damage Control (Copy 2),49.12,48.9,200-209,409,31
Duelist of the Mind (Copy 1),49.12,42.86,6-8,14,2
Airtight Alibi (Copy 1),49.12,48.75,117-123,240,19
The Death of Gwen Stacy (Copy 1),49.12,42.86,6-8,14,2
Archdruid's Charm (Copy 1),49.12,42.86,6-8,14,2
Gadget Technician (Copy 1),49.12,48.41,61-65,126,11
Earth Village Ruffians (Copy 2),49.12,42.86,6-8,14,1
A.I.M. Synthoids (Copy 4),49.11,41.67,5-7,12,2
"Reptil, Dinomorpher (Copy 2)",49.11,47.83,33-36,69,7
City Pigeon (Copy 2),49.11,41.67,5-7,12,3
Dreadful as the Storm (Copy 2),49.11,41.67,5-7,12,1
Isildur's Fateful Strike (Copy 1),49.11,41.67,5-7,12,1
Transdimensional Bovine (Copy 2),49.11,41.67,5-7,12,1
Futurist Forge (Copy 4),49.11,41.67,5-7,12,1
Illegitimate Business (Copy 1),49.1,48.59,86-91,177,18
Old Man Willow (Copy 1),49.09,47.69,31-34,65,5
Vein Ripper (Copy 1),49.09,40.0,4-6,10,1
"Echo, Perceptive Prodigy (Copy 3)",49.09,40.0,4-6,10,2
Brazen Borrower // Petty Theft (Copy 1),49.09,40.0,4-6,10,2
Venomized Cat (Copy 2),49.09,40.0,4-6,10,2
Professional Wrestler (Copy 2),49.09,40.0,4-6,10,2
Daily Bugle Reporters (Copy 2),49.09,40.0,4-6,10,1
Cycle of Renewal (Copy 1),49.08,48.31,57-61,118,9
Gravestone Strider (Copy 1),49.08,48.55,84-89,173,13
Firebender Ascension (Copy 1),49.08,47.62,30-33,63,5
Makeshift Binding (Copy 1),49.08,48.31,57-61,118,10
Mirrormere Guardian (Copy 1),49.07,48.65,108-114,222,15
"Gollum, Patient Plotter (Copy 1)",49.07,48.25,55-59,114,11
Guac & Marshmallow Pizza (Copy 2),49.07,37.5,3-5,8,2
Stomped by the Foot (Copy 2),49.07,37.5,3-5,8,1
Slithering Cryptid (Copy 2),49.07,37.5,3-5,8,1
I Am Iron Man (Copy 4),49.07,37.5,3-5,8,1
Ranger-Captain of Eos (PLST) MH1-21 (Copy 1),49.07,37.5,3-5,8,1
Plains (Copy 5),49.07,37.5,3-5,8,1
Crustacean Commando (Copy 2),49.07,37.5,3-5,8,1
Utrom Scientists (Copy 2),49.07,37.5,3-5,8,1
Soul Enervation (Copy 1),49.07,37.5,3-5,8,1
Inventive Wingsmith (Copy 2),49.07,37.5,3-5,8,1
Jennifer Walters // The Sensational She-Hulk (Copy 1),49.06,48.64,107-113,220,12
Turtles Forever (Copy 1),49.06,33.33,2-4,6,3
Foggy Swamp Hunters (Copy 2),49.06,33.33,2-4,6,1
Arwen's Gift (Copy 2),49.06,33.33,2-4,6,2
Willow-Wind (Copy 2),49.06,33.33,2-4,6,2
"Annie Flash, the Veteran (Copy 1)",49.06,33.33,2-4,6,1
The Super Hero Civil War (Copy 2),49.06,33.33,2-4,6,1
Long List of the Ents (Copy 2),49.06,33.33,2-4,6,1
Mountain (Copy 6),49.06,33.33,2-4,6,1
"Swordsman, Sharp Scoundrel (Copy 3)",49.04,25.0,1-3,4,2
Volcanic Villain (Copy 5),49.04,25.0,1-3,4,1
Eastfarthing Farmer (Copy 2),49.04,25.0,1-3,4,1
Panther Pounce (Copy 3),49.04,25.0,1-3,4,1
Repeat Offender (Copy 2),49.04,25.0,1-3,4,1
Return to the Sewers (Copy 2),49.04,25.0,1-3,4,1
Costume Closet (Copy 2),49.04,25.0,1-3,4,1
Common Crook (Copy 3),49.04,25.0,1-3,4,1
Heartless Act (Copy 2),49.04,25.0,1-3,4,1
"Night Nurse, Healer of Heroes (Copy 1)",49.03,48.92,429-448,877,55
Mysterio's Phantasm (Copy 1),49.02,48.7,150-158,308,28
Behind the Mask (Copy 2),49.02,0.0,0-2,2,1
Tunnel Tipster (Copy 3),49.02,0.0,0-2,2,1
Rune-Brand Juggler (Copy 2),49.02,0.0,0-2,2,1
Falcon's Wing Harness (Copy 2),49.02,47.17,25-28,53,4
Stegron the Dinosaur Man (Copy 3),49.02,0.0,0-2,2,1
Web Up (Copy 4),49.02,0.0,0-2,2,1
Photon Blast Barrage (Copy 3),49.02,0.0,0-2,2,1
Hobbit's Sting (Copy 3),49.02,0.0,0-2,2,1
Oliphaunt (Copy 3),49.02,0.0,0-2,2,1
Many Partings (Copy 2),49.02,0.0,0-2,2,1
Rise of the Witch-king (Copy 2),49.02,0.0,0-2,2,1
Skulduggery (Copy 2),49.02,0.0,0-2,2,1
"Justice, Vance Astrovik (Copy 3)",49.02,0.0,0-2,2,1
Swamp (Copy 7),49.02,0.0,0-2,2,1
"Michelangelo, Game Master (Copy 3)",49.02,0.0,0-2,2,1
New Generation's Technique (Copy 2),49.02,0.0,0-2,2,1
Axebane Ferox (Copy 1),49.02,0.0,0-2,2,1
Take Up the Shield (Copy 4),49.02,0.0,0-2,2,1
Sinister Hideout (Copy 2),49.02,0.0,0-2,2,1
Long Goodbye (Copy 2),49.02,0.0,0-2,2,1
"Tolsimir, Midnight's Light (Copy 2)",49.02,0.0,0-2,2,1
Elven Farsight (Copy 2),49.02,0.0,0-2,2,2
Airbending Lesson (Copy 2),49.02,0.0,0-2,2,1
Blazing Crescendo (Copy 4),49.02,0.0,0-2,2,1
Razor Rings (Copy 3),49.02,0.0,0-2,2,1
Avengers Tower (Copy 3),49.02,0.0,0-2,2,1
Case of the Uneaten Feast (Copy 1),49.02,0.0,0-2,2,1
World War Hulk (Copy 2),49.02,0.0,0-2,2,1
Armor Wars (Copy 2),49.02,0.0,0-2,2,1
Erebor Flamesmith (Copy 1),49.0,48.34,73-78,151,12
"Baron Strucker, HYDRA Overlord (Copy 2)",49.0,48.0,48-52,100,9
Ankle Biter (Copy 1),48.99,48.47,95-101,196,14
Convenient Target (Copy 1),48.99,46.94,23-26,49,5
"Mauhúr, Uruk-hai Captain (Copy 1)",48.99,46.94,23-26,49,6
"Tombstone, Career Criminal (Copy 1)",48.99,47.96,47-51,98,10
"Iron Fist, Living Weapon (Copy 2)",48.98,48.28,70-75,145,9
The Ooze (Copy 1),48.98,46.81,22-25,47,5
Humiliate (Copy 1),48.97,46.67,21-24,45,6
Sheriff of Safe Passage (Copy 1),48.97,47.87,45-49,94,9
"Shagrat, Loot Bearer (Copy 1)",48.95,46.51,20-23,43,3
Museum Nightwatch (Copy 1),48.94,48.37,89-95,184,14
Relentless Rohirrim (Copy 1),48.94,48.37,89-95,184,16
"Klaw, Sonic Subjugator (Copy 2)",48.94,46.34,19-22,41,4
Auspicious Arrival (Copy 1),48.92,48.44,109-116,225,17
Water Tribe Rallier (Copy 1),48.92,46.15,18-21,39,5
Mighty Mutanimals (Copy 1),48.92,47.67,41-45,86,9
Gift of Strands (Copy 1),48.92,46.15,18-21,39,3
Colossal Rattlewurm (Copy 1),48.92,46.15,18-21,39,2
"Gandalf, Friend of the Shire (Copy 1)",48.92,46.15,18-21,39,4
Ultimate Green Goblin (Copy 1),48.91,45.95,17-20,37,3
Foot Headquarters (Copy 1),48.9,48.39,105-112,217,21
Guac & Marshmallow Pizza (Copy 1),48.9,48.26,83-89,172,16
H.E.R.B.I.E. Scout Unit (Copy 1),48.88,48.81,821-861,1682,98
Spider-Sense (Copy 1),48.88,47.44,37-41,78,5
Spicy Oatmeal Pizza (Copy 1),48.88,47.44,37-41,78,7
Reconnaissance Mission (Copy 1),48.87,45.45,15-18,33,2
Horn of Greed (Copy 1),48.87,45.45,15-18,33,2
Cryptex (Copy 1),48.87,45.45,15-18,33,2
Meticulous Archive (Copy 1),48.87,45.45,15-18,33,2
"Captain America, Living Legend (Copy 1)",48.86,48.72,401-422,823,50
"Black Panther, Vanguard (Copy 2)",48.86,47.37,36-40,76,5
"Avatar Aang // Aang, Master of Elements (Copy 1)",48.85,45.16,14-17,31,3
Persuasive Interrogators (Copy 1),48.85,45.16,14-17,31,3
Neighborhood Guardian (Copy 1),48.85,47.3,35-39,74,6
Ent-Draught Basin (Copy 1),48.85,45.16,14-17,31,4
Fugitive Droid (Copy 1),48.85,45.16,14-17,31,3
Super Speed (Copy 3),48.85,47.3,35-39,74,8
"Obeka, Splitter of Seconds (Copy 1)",48.85,45.16,14-17,31,3
Airship Engine Room (Copy 1),48.84,47.22,34-38,72,7
Fall of Cair Andros (Copy 1),48.84,44.83,13-16,29,2
Ember Island Production (Copy 1),48.82,47.14,33-37,70,5
"Spider-Man, To the Rescue (Copy 2)",48.82,47.14,33-37,70,5
Robot Domination (Copy 2),48.82,47.14,33-37,70,6
Horn of the Mark (Copy 1),48.82,47.14,33-37,70,5
Madame Masque (Copy 1),48.8,48.67,439-463,902,51
"Madame Null, Power Broker (Copy 1)",48.8,44.0,11-14,25,4
Airbender's Reversal (Copy 1),48.8,46.97,31-35,66,7
"Donatello, Turtle Techie (Copy 1)",48.79,47.66,51-56,107,10
Rumble Arena (Copy 1),48.78,47.95,70-76,146,12
Sandbender Scavengers (Copy 1),48.78,43.48,10-13,23,2
Shock (Copy 2),48.77,46.77,29-33,62,7
Sanitation Automaton (Copy 1),48.76,47.52,48-53,101,8
Mourner's Surprise (Copy 2),48.76,42.86,9-12,21,2
Turtles in Time (Copy 1),48.76,42.86,9-12,21,2
"Scarlet Spider, Ben Reilly (Copy 1)",48.75,46.67,28-32,60,6
Foggy Bottom Swamp (Copy 1),48.75,47.86,67-73,140,10
Super Strength (Copy 1),48.74,48.65,702-741,1443,88
Assimilation Aegis (Copy 1),48.74,42.11,8-11,19,1
"Swordsman, Sharp Scoundrel (Copy 2)",48.74,47.47,47-52,99,9
Counterspell (Copy 1),48.74,42.11,8-11,19,1
Rope (Copy 1),48.74,42.11,8-11,19,1
"The Spot, Living Portal (Copy 1)",48.74,42.11,8-11,19,1
The Rise of Sozin // Fire Lord Sozin (Copy 2),48.74,42.11,8-11,19,1
A.I.M. Labs (Copy 3),48.74,42.11,8-11,19,1
Desertion (Copy 1),48.74,42.11,8-11,19,1
Shifting Grift (Copy 1),48.73,47.79,65-71,136,12
Sword of Fire and Ice (Copy 1),48.72,41.18,7-10,17,2
Earth Rumble Wrestlers (Copy 1),48.72,48.11,102-110,212,16
Azula Always Lies (Copy 1),48.72,47.98,83-90,173,18
Bag End Porter (Copy 2),48.72,41.18,7-10,17,2
Radioactive Spider (Copy 1),48.72,41.18,7-10,17,4
The Shire (Copy 1),48.72,41.18,7-10,17,2
Waterbending Lesson (Copy 2),48.72,41.18,7-10,17,1
"Ezekiel Sims, Spider-Totem (Copy 2)",48.72,41.18,7-10,17,1
"Hawkeye, Young Avenger (Copy 1)",48.7,48.54,399-423,822,52
Atlantis Attacks (Copy 1),48.7,48.62,774-818,1592,96
Soothing of Sméagol (Copy 1),48.7,48.16,118-127,245,17
Rabaroo Troop (Copy 2),48.7,40.0,6-9,15,3
Aerial Doombot (Copy 3),48.7,46.3,25-29,54,3
High-Flying Ace (Copy 2),48.7,40.0,6-9,15,2
Weather Maker (Copy 1),48.7,40.0,6-9,15,2
"Teysa, Opulent Oligarch (Copy 1)",48.69,47.25,43-48,91,6
Fire Nation Warship (Copy 1),48.68,47.19,42-47,89,7
Toxin Analysis (Copy 2),48.67,38.46,5-8,13,2
Inside Source (Copy 2),48.67,38.46,5-8,13,1
Ent's Fury (Copy 2),48.67,38.46,5-8,13,2
Insectoid Exterminator (Copy 2),48.67,38.46,5-8,13,2
Unyielding Gatekeeper (Copy 1),48.67,38.46,5-8,13,1
Crimestopper Sprite (Copy 2),48.67,38.46,5-8,13,1
Glint Weaver (Copy 2),48.67,38.46,5-8,13,1
Port Razer (Copy 1),48.67,38.46,5-8,13,1
Akul the Unrepentant (Copy 2),48.67,38.46,5-8,13,1
Hide on the Ceiling (Copy 1),48.67,38.46,5-8,13,2
"Justice, Vance Astrovik (Copy 1)",48.66,48.5,405-430,835,55
Lassoed by the Law (Copy 1),48.66,47.58,59-65,124,9
Geyser Drake (Copy 1),48.65,47.8,76-83,159,12
Bitter Downfall (Copy 1),48.65,45.83,22-26,48,4
Tumbleweed Rising (Copy 1),48.65,47.54,58-64,122,9
Gleaming Geardrake (Copy 1),48.65,45.83,22-26,48,4
Amazing Acrobatics (Copy 2),48.65,36.36,4-7,11,2
Mordor Muster (Copy 1),48.64,47.5,57-63,120,11
Relive the Past (Copy 1),48.63,45.65,21-25,46,4
"Zhao, the Moon Slayer (Copy 1)",48.63,45.65,21-25,46,5
Full Steam Ahead (Copy 1),48.62,46.91,38-43,81,5
It'll Quench Ya! (Copy 1),48.62,48.02,109-118,227,19
Voracious Fell Beast (Copy 1),48.62,46.91,38-43,81,8
"Speedball, New Warrior (Copy 3)",48.62,33.33,3-6,9,1
"Ares, God of War (Copy 2)",48.62,33.33,3-6,9,1
"Vannifar, Evolved Enigma (MKM) 323z (Copy 1)",48.62,33.33,3-6,9,1
Harried Dronesmith (Copy 2),48.62,33.33,3-6,9,1
Corrupted Conviction (Copy 2),48.62,33.33,3-6,9,2
Shelob's Ambush (Copy 1),48.61,47.87,90-98,188,17
"Karai, Future of the Foot (Copy 1)",48.61,45.45,20-24,44,4
Roxxon Brutes (Copy 3),48.61,45.45,20-24,44,3
Orcish Bowmasters (Copy 1),48.6,28.57,2-5,7,2
Cruel Alliance (Copy 4),48.6,28.57,2-5,7,1
Borne Upon a Wind (Copy 1),48.6,28.57,2-5,7,1
Sterling Hound (Copy 2),48.6,28.57,2-5,7,1
Krosan Tusker (PLST) ONS-272 (Copy 1),48.6,28.57,2-5,7,1
Prince Imrahil the Fair (Copy 2),48.6,28.57,2-5,7,1
Rodeo Pyromancers (Copy 2),48.6,28.57,2-5,7,2
Fire Nation Cadets (Copy 2),48.6,28.57,2-5,7,1
"Toph, the First Metalbender (Copy 2)",48.6,28.57,2-5,7,1
Fleeting Reflection (Copy 1),48.59,45.24,19-23,42,4
Roxxon Brutes (Copy 1),48.58,48.48,684-727,1411,89
Seize the Secrets (Copy 1),48.57,46.67,35-40,75,8
Costume Closet (Copy 1),48.57,47.59,69-76,145,13
Mind Transfer Protocol (Copy 1),48.57,47.27,52-58,110,14
"Jennika, Bad Apple Big Sister (Copy 2)",48.57,45.0,18-22,40,4
Cold Case Cracker (Copy 1),48.57,47.59,69-76,145,12
"Swarm, Being of Bees (Copy 2)",48.57,20.0,1-4,5,2
Vision of Love (Copy 3),48.57,46.67,35-40,75,6
Kyoshi Battle Fan (Copy 2),48.57,20.0,1-4,5,1
Doc Ock's Henchmen (Copy 3),48.57,20.0,1-4,5,1
Festerleech (Copy 1),48.56,47.22,51-57,108,9
Canyon Crab (Copy 1),48.55,46.58,34-39,73,6
Mountain (Copy 3),48.54,48.16,183-197,380,32
University Campus (Copy 1),48.54,47.85,100-109,209,15
S.H.I.E.L.D. Spy Kit (Copy 4),48.54,0.0,0-3,3,1
Agent Phil Coulson (Copy 2),48.54,0.0,0-3,3,1
White Lotus Tile (Copy 1),48.54,0.0,0-3,3,1
Consuming Ashes (Copy 3),48.54,0.0,0-3,3,1
Forest (Copy 6),48.54,0.0,0-3,3,1
Isolation at Orthanc (Copy 4),48.54,0.0,0-3,3,1
Troll of Khazad-dûm (Copy 2),48.54,0.0,0-3,3,1
Subterranean Cavern (Copy 3),48.54,0.0,0-3,3,1
Yip Yip! (Copy 2),48.54,0.0,0-3,3,1
Air Nomad Legacy (Copy 2),48.54,0.0,0-3,3,1
