Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Common Crook (Copy 2),51.77,56.1,23-18,41,3
Terrific Team-Up (Copy 1),51.76,54.29,38-32,70,5
"Speed, Young Avenger (Copy 2)",51.76,53.54,53-46,99,6
I Am Iron Man (Copy 3),51.76,53.54,53-46,99,9
Shadowspear (Copy 1),51.75,64.29,9-5,14,1
Bubble Smuggler (Copy 2),51.75,64.29,9-5,14,2
"Geralf, the Fleshwright (Copy 1)",51.75,64.29,9-5,14,1
Stark Industries Executive (Copy 4),51.75,64.29,9-5,14,1
Goblin Maskmaker (Copy 1),51.74,53.08,69-61,130,13
Turtle Blimp (Copy 1),51.72,62.5,10-6,16,2
Gríma Wormtongue (Copy 1),51.72,55.56,25-20,45,3
Lost to Legend (Copy 1),51.72,54.05,40-34,74,5
Force of Vigor (Copy 1),51.72,62.5,10-6,16,1
"Agent Bishop, Man in Black (Copy 1)",51.72,62.5,10-6,16,2
Agent Maria Hill (Copy 4),51.72,62.5,10-6,16,1
Incinerator of the Guilty (Copy 1),51.72,62.5,10-6,16,2
Feed the Swarm (Copy 1),51.69,61.11,11-7,18,1
Trash the Town (Copy 1),51.69,53.85,42-36,78,7
Drover Grizzly (Copy 3),51.69,61.11,11-7,18,1
Outlaws' Merriment (Copy 1),51.69,61.11,11-7,18,2
Mountain (Copy 5),51.67,60.0,12-8,20,4
"Doc Ock, Sinister Scientist (Copy 2)",51.67,60.0,12-8,20,1
Doubling Season (Copy 1),51.67,60.0,12-8,20,1
Fin Fang Foom (Copy 2),51.67,60.0,12-8,20,1
"Zog, Triceraton Castaway (Copy 3)",51.67,60.0,12-8,20,1
Evil's Thrall (Copy 2),51.66,53.15,59-52,111,6
Everything Pizza (Copy 1),51.66,54.9,28-23,51,4
Glint Weaver (Copy 1),51.66,54.9,28-23,51,4
"Raph & Mikey, Troublemakers (Copy 1)",51.66,54.9,28-23,51,4
Absorbing Man (Copy 1),51.65,52.2,154-141,295,20
Raft Security Officer (Copy 3),51.65,53.66,44-38,82,7
Red Hulk (Copy 2),51.65,53.66,44-38,82,8
Bill the Pony (Copy 1),51.65,53.66,44-38,82,6
Connecting the Dots (Copy 1),51.64,59.09,13-9,22,2
Spring Splasher (Copy 1),51.64,53.1,60-53,113,10
Clever Impersonator (Copy 1),51.64,59.09,13-9,22,1
Asgardian Citadel (Copy 2),51.63,53.04,61-54,115,8
"Bruse Tarl, Roving Rancher (Copy 1)",51.63,54.72,29-24,53,4
Crescent Island Temple (Copy 1),51.61,52.99,62-55,117,11
Doorkeeper Thrull (Copy 1),51.61,58.33,14-10,24,3
Monologue Tax (PLST) C21-19 (Copy 1),51.61,58.33,14-10,24,1
"Black Panther, Vanguard (Copy 3)",51.61,58.33,14-10,24,1
Illicit Masquerade (Copy 1),51.59,57.69,15-11,26,2
Overzealous Muscle (Copy 2),51.59,57.69,15-11,26,2
Mana Drain (Copy 1),51.59,57.69,15-11,26,2
Offender at Large (Copy 1),51.56,52.27,115-105,220,17
Wanted Griffin (Copy 2),51.56,57.14,16-12,28,3
Putrid Pals (Copy 1),51.56,53.26,49-43,92,8
"Fblthp, Lost on the Range (Copy 1)",51.55,54.1,33-28,61,5
Thoughtseize (Copy 1),51.54,56.67,17-13,30,2
Spectacular Spider-Man (Copy 1),51.52,56.25,18-14,32,3
Cruel Alliance (Copy 3),51.52,56.25,18-14,32,4
Go Ninja Go (Copy 1),51.52,53.06,52-46,98,9
Omenport Vigilante (Copy 1),51.52,56.25,18-14,32,2
Sharp-Eyed Rookie (Copy 1),51.48,53.62,37-32,69,6
"Daredevil, Man Without Fear (Copy 2)",51.47,55.56,20-16,36,3
"Ghost, Spectral Saboteur (Copy 2)",51.47,52.88,55-49,104,7
Repeat Offender (Copy 1),51.45,52.48,74-67,141,16
Heartless Pillage (Copy 1),51.45,53.42,39-34,73,8
Rubblebelt Maverick (Copy 1),51.45,52.48,74-67,141,14
Patient Naturalist (Copy 1),51.43,52.41,76-69,145,12
"Andúril, Flame of the West (LTR) 746z (Copy 1)",51.43,55.0,22-18,40,2
Turtle Van (Copy 1),51.41,53.25,41-36,77,6
"Toph, the First Metalbender (Copy 1)",51.41,54.76,23-19,42,2
Shifting Grift (Copy 2),51.4,71.43,5-2,7,1
Highway Robbery (Copy 2),51.4,71.43,5-2,7,1
Kellan Joins Up (Copy 1),51.4,71.43,5-2,7,1
First-Time Flyer (Copy 2),51.4,71.43,5-2,7,2
"Koya, Death from Above (Copy 2)",51.4,71.43,5-2,7,1
Wispdrinker Vampire (Copy 1),51.39,54.55,24-20,44,4
"Mister Fantastic, Reed Richards (Copy 2)",51.38,52.54,62-56,118,8
Oasis Gardener (Copy 1),51.38,52.29,80-73,153,16
Vanishing Verse (Copy 1),51.37,54.35,25-21,46,3
A.I.M. Scientists (Copy 4),51.35,63.64,7-4,11,2
"Donatello, Mutant Mechanic (Copy 1)",51.35,63.64,7-4,11,1
Harvester of Misery (Copy 1),51.35,63.64,7-4,11,1
"Leonardo, Leader in Blue (Copy 2)",51.35,63.64,7-4,11,1
TCRI Building (Copy 2),51.35,63.64,7-4,11,1
Jailbreak Scheme (Copy 2),51.33,61.54,8-5,13,1
"Grim Reaper, Lethal Legionnaire (Copy 2)",51.32,52.34,67-61,128,10
Pest Infestation (Copy 1),51.32,53.85,28-24,52,3
Avengers Disassembled (Copy 1),51.31,51.65,204-191,395,25
Depower (Copy 4),51.3,60.0,9-6,15,1
High-Flying Ace (Copy 1),51.3,51.84,127-118,245,21
The Walls of Ba Sing Se (Copy 1),51.3,53.7,29-25,54,3
"Spider-Woman, Secret Agent (Copy 3)",51.3,60.0,9-6,15,1
Earth's Mightiest Heroes (Copy 1),51.29,52.05,89-82,171,10
"Stockman, Mad Fly-entist (Copy 1)",51.28,52.02,90-83,173,16
Blacksnag Buzzard (Copy 2),51.28,58.82,10-7,17,2
Cerebral Confiscation (Copy 2),51.28,58.82,10-7,17,1
Wakandan Royal Guard (Copy 4),51.28,58.82,10-7,17,1
Tin Street Gossip (Copy 1),51.27,52.58,51-46,97,9
Planetarium of Wan Shi Tong (Copy 1),51.26,57.89,11-8,19,2
Agent Maria Hill (Copy 3),51.26,57.89,11-8,19,2
"Kellan, Inquisitive Prodigy // Tail the Suspect (Copy 1)",51.26,57.89,11-8,19,1
Generous Plunderer (Copy 1),51.26,57.89,11-8,19,1
Drover Grizzly (Copy 2),51.26,57.89,11-8,19,1
Water Tribe Captain (Copy 1),51.25,51.82,114-106,220,18
Team Tactics (Copy 2),51.24,52.11,74-68,142,12
Gwen Stacy // Ghost-Spider (Copy 2),51.24,57.14,12-9,21,1
The Last Ronin (Copy 1),51.24,57.14,12-9,21,2
Marauding Sphinx (Copy 1),51.23,53.23,33-29,62,6
Madame Masque (Copy 2),51.23,52.43,54-49,103,8
Tunnel Rats (Copy 2),51.22,56.52,13-10,23,2
M.O.D.O.K. (Copy 2),51.22,56.52,13-10,23,1
Dramatic Accusation (Copy 1),51.2,51.83,99-92,191,17
Greenbelt Radical (Copy 1),51.2,52.29,57-52,109,9
